"scharr_date","actdep","latemin","no","station","scharr","has_departed","has_arrived","actarr","actarr_date","schdep","distance","day","scharr_datetime","actarr_datetime","schdep_datetime","actdep_datetime","train_no"
"latemin","day","has_departed","schdep","actarr_date","distance","has_arrived","actarr","station","actdep","scharr_date","no","scharr","scharr_datetime","actarr_datetime","schdep_datetime","actdep_datetime","train_no"
0,0,TRUE,"00:10","13 Oct 2016",0,TRUE,"00:10","MRJ","00:10","13 Oct 2016",1,"00:10",2016-10-13 00:10:00,2016-10-13 00:10:00,2016-10-13 00:10:00,2016-10-13 00:10:00,"11047"
6,0,TRUE,"00:29","13 Oct 2016",16,TRUE,"00:33","SED","00:34","13 Oct 2016",2,"00:27",2016-10-13 00:27:00,2016-10-13 00:33:00,2016-10-13 00:29:00,2016-10-13 00:34:00,"11047"
10,0,TRUE,"00:38","13 Oct 2016",26,TRUE,"00:46","UGR","00:47","13 Oct 2016",3,"00:36",2016-10-13 00:36:00,2016-10-13 00:46:00,2016-10-13 00:38:00,2016-10-13 00:47:00,"11047"
11,0,TRUE,"00:48","13 Oct 2016",33,TRUE,"00:57","KUD","00:58","13 Oct 2016",4,"00:46",2016-10-13 00:46:00,2016-10-13 00:57:00,2016-10-13 00:48:00,2016-10-13 00:58:00,"11047"
10,0,TRUE,"00:56","13 Oct 2016",39,TRUE,"01:04","CNC","01:05","13 Oct 2016",5,"00:54",2016-10-13 00:54:00,2016-10-13 01:04:00,2016-10-13 00:56:00,2016-10-13 01:05:00,"11047"
7,0,TRUE,"01:08","13 Oct 2016",50,TRUE,"01:13","RBG","01:14","13 Oct 2016",6,"01:06",2016-10-13 01:06:00,2016-10-13 01:13:00,2016-10-13 01:08:00,2016-10-13 01:14:00,"11047"
14,0,TRUE,"01:35","13 Oct 2016",79,TRUE,"01:47","GPB","01:52","13 Oct 2016",7,"01:33",2016-10-13 01:33:00,2016-10-13 01:47:00,2016-10-13 01:35:00,2016-10-13 01:52:00,"11047"
19,0,TRUE,"02:32","13 Oct 2016",137,TRUE,"02:47","BGM","02:50","13 Oct 2016",8,"02:28",2016-10-13 02:28:00,2016-10-13 02:47:00,2016-10-13 02:32:00,2016-10-13 02:50:00,"11047"
2,0,TRUE,"03:45","13 Oct 2016",188,TRUE,"03:42","LD","03:45","13 Oct 2016",9,"03:40",2016-10-13 03:40:00,2016-10-13 03:42:00,2016-10-13 03:45:00,2016-10-13 03:45:00,"11047"
10,0,TRUE,"04:20","13 Oct 2016",221,TRUE,"04:25","LWR","04:27","13 Oct 2016",10,"04:15",2016-10-13 04:15:00,2016-10-13 04:25:00,2016-10-13 04:20:00,2016-10-13 04:27:00,"11047"
-21,0,TRUE,"05:25","13 Oct 2016",258,TRUE,"05:02","DWR","05:28","13 Oct 2016",11,"05:23",2016-10-13 05:23:00,2016-10-13 05:02:00,2016-10-13 05:25:00,2016-10-13 05:28:00,"11047"
-20,0,FALSE,"06:25","13 Oct 2016",278,TRUE,"06:05","UBL","06:05","13 Oct 2016",12,"06:25",2016-10-13 06:25:00,2016-10-13 06:05:00,2016-10-13 06:25:00,2016-10-13 06:05:00,"11047"
"latemin","day","has_departed","schdep","actarr_date","distance","has_arrived","actarr","station","actdep","scharr_date","no","scharr","scharr_datetime","actarr_datetime","schdep_datetime","actdep_datetime","train_no"
0,0,TRUE,"08:30","12 Oct 2016",0,TRUE,"08:40","ASR","08:40","12 Oct 2016",1,"08:30",2016-10-12 08:30:00,2016-10-12 08:40:00,2016-10-12 08:30:00,2016-10-12 08:40:00,"11058"
25,0,TRUE,"08:47","12 Oct 2016",18,TRUE,"09:10","JNL","09:12","12 Oct 2016",2,"08:45",2016-10-12 08:45:00,2016-10-12 09:10:00,2016-10-12 08:47:00,2016-10-12 09:12:00,"11058"
22,0,TRUE,"09:10","12 Oct 2016",42,TRUE,"09:30","BEAS","09:32","12 Oct 2016",3,"09:08",2016-10-12 09:08:00,2016-10-12 09:30:00,2016-10-12 09:10:00,2016-10-12 09:32:00,"11058"
19,0,TRUE,"09:33","12 Oct 2016",63,TRUE,"09:50","KRE","09:52","12 Oct 2016",4,"09:31",2016-10-12 09:31:00,2016-10-12 09:50:00,2016-10-12 09:33:00,2016-10-12 09:52:00,"11058"
12,0,TRUE,"10:05","12 Oct 2016",78,TRUE,"10:07","JUC","10:17","12 Oct 2016",5,"09:55",2016-10-12 09:55:00,2016-10-12 10:07:00,2016-10-12 10:05:00,2016-10-12 10:17:00,"11058"
11,0,TRUE,"10:15","12 Oct 2016",83,TRUE,"10:24","JRC","10:26","12 Oct 2016",6,"10:13",2016-10-12 10:13:00,2016-10-12 10:24:00,2016-10-12 10:15:00,2016-10-12 10:26:00,"11058"
