"code","lat","lng","state","fullname","Pin_code","stops","DelayOverall","DelayDiscreate"
"AA",27.172691,80.860887,"Uttar Pradesh","ATARIA",261303,12,NA,NA
"AABH",25.7518973,84.9693199,"Bihar","AMBIKA BHAWANI HALT",841207,1,66.7368421052632,3.89473684210526
"AADR",31.6737202,76.1098051,"Himachal Pradesh","AMB ANDAURA",177203,4,0.897435897435897,-1.46153846153846
"AAG",17.9282215,75.6081516,"Maharashtra","ANGAR",413214,4,60.5526315789474,4.86842105263158
"AAH",26.5584598,78.6727363,"Madhya Pradesh","ITEHAR",477001,6,10.875,1.01785714285714
"AAK",20.1834728,74.4373577,"Maharashtra","ANKAIKILA",423104,1,NA,NA
"AAL",23.1728535,81.5930986,"Madhya Pradesh","AMLAI",484220,21,39.936170212766,2.98936170212766
"AAM",10.9812292,76.2079354,"Kerala","ANGADIPPURAM",679321,14,16.75,1.1796875
"AAP",26.5149928,79.8267138,"Uttar Pradesh","AMBIAPUR",209302,6,86.95,5.96666666666667
"AAR",23.552756,70.97271,"Gujarat","ADESAR",370155,2,34.12,1.8
"AAS",26.3973428,73.305679,"Rajasthan","ASRANADA",342027,8,32.6753246753247,2.81818181818182
"AAY",8.2494382,77.5294276,"Tamil Nadu","ARALVAYMOLI",627105,10,22.6533333333333,4.10666666666667
"AB",12.7835692,78.7218465,"Tamil Nadu","AMBUR",635802,29,33.2232558139535,3.24186046511628
"ABB",22.5478068,88.1994814,"West Bengal","ABADA",711313,2,21.2105263157895,-0.315789473684211
"ABD",23.0537002,72.4930287,"Gujarat","AMBLI ROAD",380058,6,16.0185185185185,0.962962962962963
"ABE",26.365992,77.972662,"Madhya Pradesh","AMBIKESHWAR",476444,4,NA,NA
"ABFC",26.6414002,88.5103688,"West Bengal","AMBARI FALAKATA",735135,8,17.34,7.3
"ABGT",13.894904,76.137987,"Karnataka","ARBAGATTA H",577554,4,42.7777777777778,0.037037037037037
"ABH",19.21012,73.1844207,"Maharashtra","AMBARNATH",421501,6,32.05,-0.85
"ABI",10.271872,77.9240658,"Tamil Nadu","AMBATURAI",624302,14,20.9473684210526,7.49122807017544
"ABKA",23.2124095,88.3541748,"West Bengal","AMBIKA KALNA",713409,18,17.0822784810127,3.21518987341772
"ABKP",23.1369017,83.1436368,"Chhattisgarh","AMBIKAPUR",497001,8,0.271186440677966,-13.2372881355932
"ABLE",18.4140393,74.1868855,"Maharashtra","AMBALE",412104,5,36.7222222222222,4.77777777777778
"ABO",28.8581487,76.6293578,"Haryana","ASTHAL BOHAR",124001,28,27.2757201646091,8.43621399176955
"ABP",26.4292167,82.5400585,"Uttar Pradesh","AKBARPUR",224122,43,112.815789473684,8.62280701754386
"ABR",24.4810245,72.7853514,"Rajasthan","ABU ROAD",307026,94,41.4225352112676,3.91267605633803
"ABS",30.1392329,74.1946363,"Punjab","ABOHAR",152116,27,31.9817351598174,-1.57077625570776
"ABU",13.1139737,80.1534319,"Tamil Nadu","AMBATTUR",600053,4,23.4871794871795,0.615384615384615
"ABW",26.0601575,89.5290837,"West Bengal","ABUTARA",736168,4,NA,NA
"ABX",19.6889355,78.2162388,"Maharashtra","AMBARI",431804,4,22.4324324324324,2.91891891891892
"ABY",19.2678027,73.1717456,"Maharashtra","AMBIVLI",421102,2,61.5882352941176,12.0588235294118
"ABZ",21.1283443,76.9431507,"Maharashtra","ADGAON BUZURG",444126,8,27.3766233766234,1.35064935064935
"ACAB",16.5834688,81.3689428,"Andhra Pradesh","A CABIN",534235,NA,NA,NA
