"number","total_stations","distance_covered","start_time","end_time","journey_days","journey_time","train_type","is_superfast","average_speed","DelayOverall","DelayDiscreate"
"00001",8,54,"23:50","01:20",1,1.5,"Special",FALSE,36,NA,NA
"00002",8,54,"01:40","03:10",0,1.5,"Special",FALSE,36,NA,NA
"00003",8,54,"03:30","05:10",0,1.66666666666667,"Special",FALSE,32.4,NA,NA
"00004",8,54,"21:55","23:30",0,1.58333333333333,"Special",FALSE,34.1052631578947,NA,NA
"00005",8,54,"22:15","00:10",1,1.91666666666667,"Special",FALSE,28.1739130434783,NA,NA
"00006",8,54,"00:40","02:20",0,1.66666666666667,"Special",FALSE,32.4,NA,NA
"00007",6,44,"04:00","05:30",0,1.5,"Special",FALSE,29.3333333333333,NA,NA
"00008",6,44,"02:30","03:30",0,1,"Special",FALSE,44,NA,NA
"00009",8,54,"05:40","07:05",0,1.41666666666667,"Special",FALSE,38.1176470588235,NA,NA
"00010",8,54,"20:05","21:45",0,1.66666666666667,"Special",FALSE,32.4,NA,NA
"00011",7,54,"04:05","06:30",0,2.41666666666667,"Special",FALSE,22.3448275862069,NA,NA
"00012",8,54,"01:25","03:45",0,2.33333333333333,"Special",FALSE,23.1428571428571,NA,NA
"00013",6,44,"13:45","15:00",0,1.25,"Special",FALSE,35.2,NA,NA
"00014",6,44,"12:00","13:15",0,1.25,"Special",FALSE,35.2,NA,NA
"00015",6,44,"16:30","17:30",0,1,"Special",FALSE,44,NA,NA
"00016",6,44,"15:05","16:00",0,0.916666666666667,"Special",FALSE,48,NA,NA
"00017",6,44,"14:30","15:25",0,0.916666666666667,"Special",FALSE,48,NA,NA
"00018",6,44,"12:50","14:00",0,1.16666666666667,"Special",FALSE,37.7142857142857,NA,NA
"00019",7,54,"15:30","16:55",0,1.41666666666667,"Special",FALSE,38.1176470588235,NA,NA
"00020",8,54,"11:20","12:45",0,1.41666666666667,"Special",FALSE,38.1176470588235,NA,NA
"00021",7,54,"09:00","10:50",0,1.83333333333333,"Special",FALSE,29.4545454545455,NA,NA
"00022",8,54,"11:10","13:00",0,1.83333333333333,"Special",FALSE,29.4545454545455,NA,NA
"00023",7,54,"13:20","15:10",0,1.83333333333333,"Special",FALSE,29.4545454545455,NA,NA
"00024",8,54,"15:30","17:50",0,2.33333333333333,"Special",FALSE,23.1428571428571,NA,NA
"00025",8,54,"18:10","20:40",0,2.5,"Special",FALSE,21.6,NA,NA
"00026",8,54,"21:00","22:30",0,1.5,"Special",FALSE,36,NA,NA
"00027",6,44,"00:45","02:00",0,1.25,"Special",FALSE,35.2,NA,NA
"00028",6,44,"22:40","00:25",1,1.75,"Special",FALSE,25.1428571428571,NA,NA
"00029",8,54,"02:05","04:40",0,2.58333333333333,"Special",FALSE,20.9032258064516,NA,NA
"00030",8,54,"05:00","06:45",0,1.75,"Special",FALSE,30.8571428571429,NA,NA
"00031",8,54,"07:05","08:45",0,1.66666666666667,"Special",FALSE,32.4,NA,NA
"00032",8,54,"09:05","11:05",0,2,"Special",FALSE,27,NA,NA
"00033",7,54,"11:25","13:25",0,2,"Special",FALSE,27,NA,NA
"00034",8,54,"13:45","15:30",0,1.75,"Special",FALSE,30.8571428571429,NA,NA
"00035",6,44,"17:15","18:35",0,1.33333333333333,"Special",FALSE,33,NA,NA
"00036",6,44,"15:40","16:55",0,1.25,"Special",FALSE,35.2,NA,NA
"00037",8,54,"18:40","21:10",0,2.5,"Special",FALSE,21.6,NA,NA
"00038",8,54,"21:30","23:00",0,1.5,"Special",FALSE,36,NA,NA
"00039",8,54,"23:35","01:55",1,2.33333333333333,"Special",FALSE,23.1428571428571,NA,NA
"00040",8,54,"02:15","05:00",0,2.75,"Special",FALSE,19.6363636363636,NA,NA
"00041",6,44,"07:55","08:55",0,1,"Special",FALSE,44,NA,NA
"00042",6,44,"06:00","07:35",0,1.58333333333333,"Special",FALSE,27.7894736842105,NA,NA
"00201",21,183,"00:05","04:30",0,4.41666666666667,"Special",FALSE,41.4339622641509,NA,NA
"00206",21,183,"02:45","07:35",0,4.83333333333333,"Special",FALSE,37.8620689655172,NA,NA
"00219",20,173,"07:25","12:00",0,4.58333333333333,"Special",FALSE,37.7454545454545,NA,NA
"00842",13,1664,"17:10","18:30",1,25.3333333333333,"Special",FALSE,65.6842105263158,227.291666666667,25.625
"01090",11,421,"09:20","16:40",0,7.33333333333333,"Special",FALSE,57.4090909090909,18.1111111111111,-1
"01413",14,267,"06:00","12:15",0,6.25,"Special",FALSE,42.72,11.0571428571429,-0.95
"01414",14,267,"15:25","21:10",0,5.75,"Special",FALSE,46.4347826086956,5.24285714285714,-0.178571428571429
"01656",13,1047,"06:45","02:45",1,20,"Special",FALSE,52.35,NA,NA
"01659",17,1022,"14:35","10:00",1,19.4166666666667,"Special",FALSE,52.6351931330472,NA,NA
"01705",14,1262,"20:30","18:55",1,22.4166666666667,"Special",FALSE,56.2973977695167,39.8928571428571,2.21428571428571
"01706",14,1263,"14:20","11:15",1,20.9166666666667,"Special",FALSE,60.3824701195219,5,0
"01707",17,1382,"09:15","11:45",1,26.5,"Special",FALSE,52.1509433962264,69.3333333333333,4.31372549019608
"02081",15,107,"18:45","22:00",0,3.25,"Special",TRUE,32.9230769230769,7.16,-0.2
"02082",13,107,"04:55","08:25",0,3.5,"Special",TRUE,30.5714285714286,9.49230769230769,-0.115384615384615
"02087",11,107,"21:05","00:20",1,3.25,"Special",TRUE,32.9230769230769,9.04040404040404,0.101010101010101
"02088",15,107,"06:20","09:45",0,3.41666666666667,"Special",TRUE,31.3170731707317,10.0466666666667,0.3
"02090",15,107,"07:40","11:10",0,3.5,"Special",TRUE,30.5714285714286,4.78666666666667,-0.2
"02123",10,888,"15:15","05:15",1,14,"Special",TRUE,63.4285714285714,60.8,8
"02125",10,1535,"17:50","21:05",1,27.25,"Special",TRUE,56.3302752293578,46.25,14.375
"02172",15,2120,"07:20","18:00",1,34.6666666666667,"Special",TRUE,61.1538461538462,NA,NA
"02540",13,87,"10:15","17:45",0,7.5,"Special",TRUE,11.6,NA,NA
"02651",3,62,"07:45","09:10",0,1.41666666666667,"Special",TRUE,43.7647058823529,3.4,0
"02652",3,63,"16:45","18:10",0,1.41666666666667,"Special",TRUE,44.4705882352941,4,-0.5
"02779",21,705,"15:10","07:00",1,15.8333333333333,"Special",TRUE,44.5263157894737,NA,NA
"02853",19,2307,"17:00","06:00",2,37,"Special",TRUE,62.3513513513514,31.8157894736842,3.81578947368421
"02854",22,2309,"08:50","23:00",1,38.1666666666667,"Special",TRUE,60.4978165938865,36.25,0
"02877",8,1070,"05:30","23:00",0,17.5,"Special",TRUE,61.1428571428571,NA,NA
"02878",8,1073,"01:00","18:00",0,17,"Special",TRUE,63.1176470588235,NA,NA
"03217",8,34,"04:10","05:35",0,1.41666666666667,"Special",FALSE,24,11.3125,1.1125
"03218",8,34,"20:15","21:55",0,1.66666666666667,"Special",FALSE,20.4,50.7,8.0375
"03572",8,34,"04:30","05:45",0,1.25,"Special",FALSE,27.2,6.775,0.7125
"04111",13,1211,"15:20","13:50",1,22.5,"Special",FALSE,53.8222222222222,NA,NA
"04112",14,1211,"22:10","20:25",1,22.25,"Special",FALSE,54.4269662921348,NA,NA
"04113",13,1211,"15:20","13:50",1,22.5,"Special",FALSE,53.8222222222222,NA,NA
"04114",12,1211,"22:10","22:25",1,24.25,"Special",FALSE,49.9381443298969,NA,NA
"04191",5,96,"18:10","20:35",0,2.41666666666667,"Special",FALSE,39.7241379310345,26,16.1111111111111
"04402",11,685,"14:40","05:30",1,14.8333333333333,"Special",FALSE,46.1797752808989,138.509090909091,19.6727272727273
"04407",13,1275,"07:05","04:30",1,21.4166666666667,"Special",FALSE,59.5330739299611,20.4230769230769,7.73076923076923
"04408",11,1275,"15:55","12:50",1,20.9166666666667,"Special",FALSE,60.9561752988048,72.8461538461538,5
"04417",10,1516,"05:15","05:35",1,24.3333333333333,"Special",FALSE,62.3013698630137,5.7,1.5
"04421",8,281,"15:35","21:05",0,5.5,"Special",FALSE,51.0909090909091,NA,NA
"04422",8,281,"06:00","11:40",0,5.66666666666667,"Special",FALSE,49.5882352941176,NA,NA
"04425",33,3023,"23:00","03:00",3,52,"Special",FALSE,58.1346153846154,NA,NA
"04435",9,975,"16:20","10:00",1,17.6666666666667,"Special",FALSE,55.188679245283,NA,NA
"04436",9,974,"20:00","13:30",1,17.5,"Special",FALSE,55.6571428571429,NA,NA
"04504",7,491,"21:20","07:50",1,10.5,"Special",FALSE,46.7619047619048,10,0
"04735",17,691,"19:45","10:25",1,14.6666666666667,"Special",FALSE,47.1136363636364,5.23529411764706,0
"04736",17,691,"19:50","09:40",1,13.8333333333333,"Special",FALSE,49.9518072289157,49.6176470588235,1
"04769",10,66,"17:40","19:30",0,1.83333333333333,"Special",FALSE,36,5.38,-0.51
"04772",24,245,"18:40","01:00",1,6.33333333333333,"Special",FALSE,38.6842105263158,6.30555555555556,-0.347222222222222
"04802",2,21,"19:00","20:00",0,1,"Special",FALSE,21,-0.625,-0.625
"04805",3,26,"12:55","13:20",0,0.416666666666667,"Special",FALSE,62.4,7.9,4.6
"04806",3,26,"13:45","14:15",0,0.5,"Special",FALSE,52,7.1,3.5
